model,seed,epochs,batch_size,lr,best_val_auc,test_auc,test_accuracy,test_precision,test_recall,test_f1,test_loss,seconds
linear,0,10,64,0.001,0.7460654743786344,0.7383037551109768,0.3456904541241891,0.5286059036897222,0.4761990511910391,0.4985287967805333,0.6764996700427112,67.63
mlp,0,10,64,0.001,0.7941748498066026,0.8026448865682261,0.4281742354031511,0.6668670828612379,0.4611494533699333,0.5346248813635583,0.43384601526400624,46.51
cnn,0,10,64,0.001,0.8837872508880114,0.8755521416204758,0.5430954587581094,0.751053389856519,0.5848393177440284,0.6351735598862673,0.3553127260769115,56.44
resnet,0,10,64,0.001,0.8944527429230137,0.8878020070791184,0.5486561631139945,0.7751456327242184,0.5612984772799587,0.6292666503783934,0.3376944959163666,101.24
gru,0,10,64,0.001,0.8917071997078748,0.8796703812979583,0.5537534754402225,0.7239333114883202,0.6007385820933807,0.6473024818435766,0.3553689867258072,67.25
linear,1,10,64,0.001,0.7496862753145612,0.737937269498944,0.34615384615384615,0.5252116793959023,0.4674754370385834,0.4921344097734835,0.6911546509055531,21.75
mlp,1,10,64,0.001,0.7955360535247655,0.7971301086259691,0.4318813716404078,0.6498358059662042,0.4991257694944739,0.5573055142485408,0.4728749753797756,21.1
cnn,1,10,64,0.001,0.8822283825153848,0.8760150291721537,0.48980537534754404,0.7283646952100458,0.6000298296796467,0.6570812079481231,0.3529015402583515,23.96
resnet,1,10,64,0.001,0.8964816133687652,0.886141484747424,0.5375347544022243,0.7329532357198826,0.609258237911847,0.6593669561235754,0.338001631638583,29.48
gru,1,10,64,0.001,0.8932759559358165,0.8827838650315402,0.5500463392029658,0.7776124599536033,0.5834864481755112,0.6492917445391467,0.33985970388440523,27.22
linear,2,10,64,0.001,0.744698837769902,0.7318648793745941,0.3456904541241891,0.48808845634421677,0.515945518260896,0.49933952897977746,0.8427549267516417,19.98
mlp,2,10,64,0.001,0.7931134997476366,0.8003619386412406,0.45505097312326226,0.6519676727118077,0.4616102008405921,0.5252923724658168,0.42610285737935233,22.64
cnn,2,10,64,0.001,0.8814282339579561,0.8730401099225407,0.4184430027803522,0.7096326836244498,0.591442662689563,0.62994591831708,0.3870145774939481,24.73
resnet,2,10,64,0.001,0.8924463716868729,0.8863983052533151,0.5574606116774792,0.7671899442358346,0.58307375723549,0.6429429236962375,0.34696803198141213,29.88
gru,2,10,64,0.001,0.8994579518766039,0.8855423061649568,0.5597775718257646,0.7334899800099736,0.6158939237636886,0.6582821892827246,0.3331928218112272,27.53
