model,seed,epoch,train_loss,val_loss,val_auc,val_accuracy,val_precision,val_recall,val_f1
linear,0,1,0.6675275335374397,0.7518268516835045,0.7309939715202313,0.35880708294501396,0.5200802263240161,0.5132505625924006,0.5117529351104193
linear,0,2,0.5196835460064563,0.679709246929954,0.7460654743786344,0.3406337371854613,0.5383139424695462,0.4851547599408427,0.5086778045329322
linear,0,3,0.4709374698137076,0.7402409297578475,0.7327853306993038,0.3574091332712022,0.5191594165454416,0.4959926858383528,0.5054100538729458
linear,0,4,0.42834914924946615,0.7587364561417523,0.7385383742075841,0.34762348555452005,0.5082825918351943,0.4903114418914997,0.4966756973695935
linear,0,5,0.40315857764040486,0.8210365071016199,0.7359606821447914,0.3164026095060578,0.5011175884607318,0.5011450817465899,0.4999581241259786
linear,0,6,0.3949397997686479,0.8849277934607338,0.7266315931145803,0.3322460391425909,0.5127065031700113,0.4661266312416973,0.48692000030162763
linear,0,7,0.3812888990738865,0.8265322183861452,0.7439796944920177,0.35461323392357874,0.5265752746741821,0.5024457620933358,0.513145876769021
linear,0,8,0.3632614890511116,0.860596041469013,0.7347614756127758,0.34995340167753963,0.5194028306946897,0.48836912139287697,0.5014432440859714
linear,0,9,0.34588160909963456,0.8779360301354352,0.7398116552901219,0.35135135135135137,0.508000341671144,0.5242653890366246,0.5152093446044996
linear,0,10,0.335121103049664,0.9214072893647587,0.7266577748062453,0.34995340167753963,0.4934895279466479,0.5046362797046552,0.4955096935612279
mlp,0,1,0.49402897389194045,0.4446079345310436,0.7932850033451235,0.4207828518173346,0.6455796992319714,0.4740883871930211,0.5380330270616266
mlp,0,2,0.37144534501913334,0.5013932524358525,0.781402718466671,0.45293569431500463,0.6408929317542633,0.48081280426888773,0.5328894005660529
mlp,0,3,0.32626287650303,0.5871781829525443,0.780431272207498,0.4743709226467847,0.6220461423595964,0.528401148312065,0.5555205287827274
mlp,0,4,0.3521842844923784,0.6903131779502419,0.7754013907869484,0.4664492078285182,0.6552049064288049,0.49966625832180256,0.5526466295779013
mlp,0,5,0.2617711034718524,0.7178536548334009,0.7801514733900923,0.45246971109040074,0.6123789150255035,0.5316593200110822,0.5640901209903851
mlp,0,6,0.21367451835995757,0.8713105548830593,0.7705117647803682,0.43103448275862066,0.5891688337571068,0.5300755003869015,0.552312239218355
mlp,0,7,0.19732744319273737,0.9095546156167984,0.7735372043921893,0.4506057781919851,0.6172691736108946,0.5300716662338527,0.5654515365363049
mlp,0,8,0.17287712373983546,1.0207897442228653,0.7670053532079597,0.4487418452935694,0.631647038924497,0.5137968073851484,0.5598776454390736
mlp,0,9,0.16917507549964086,1.1499007151407354,0.7640967147334583,0.4384902143522833,0.6146881970587813,0.49746641810777936,0.5440091262941958
mlp,0,10,0.16066482292020812,1.2584700742188621,0.7648902878051878,0.44641192917054984,0.6114188117760915,0.5320798869368846,0.5647698900917618
cnn,0,1,0.3999910343452339,0.37327660094289217,0.8594075953841414,0.44175209692451073,0.7369347084378483,0.49321666365407085,0.56910601700446
cnn,0,2,0.35993878057833467,0.3618842012741986,0.8652018290417693,0.46551724137931033,0.7615378415627159,0.48440814463827664,0.5755988331616083
cnn,0,3,0.34715445468041783,0.3668411794830771,0.8728273691349513,0.4739049394221808,0.7286226335861594,0.5627986896655335,0.6094048587075439
cnn,0,4,0.3387213731079959,0.34641079166356253,0.8794119556266585,0.5093196644920783,0.7754783060161001,0.5239850426591459,0.5937418578439606
cnn,0,5,0.3280132023917602,0.3493888251045171,0.879628235026885,0.5256290773532153,0.7886141519091344,0.5237109858976312,0.5888511115451909
cnn,0,6,0.32206861122270647,0.36573174771140604,0.8819589746797405,0.5354147250698975,0.8026331267310061,0.5153551850457375,0.5746909740120356
cnn,0,7,0.31891567614417843,0.3507496679530424,0.8797995085024727,0.505591798695247,0.7074719189917761,0.6069965919516596,0.639603734232449
cnn,0,8,0.31126736160297963,0.3447541958268951,0.8827921722325183,0.5116495806150979,0.7566244486734165,0.5659674596239807,0.6220979391605784
cnn,0,9,0.3064168616850278,0.35402604061014514,0.8823670374942537,0.5335507921714818,0.7707488810721254,0.5538740541567375,0.6135428814007712
cnn,0,10,0.30384687856118775,0.34755200805032954,0.8824346654136954,0.5288909599254427,0.7483102890365025,0.5729940703168803,0.6266191139127374
gru,0,1,0.4274027200227373,0.3892444512423347,0.8396489212180519,0.48555452003727867,0.7279470852103544,0.43727639764054543,0.5081209927174906
gru,0,2,0.3614778956223963,0.36502255849978504,0.8568588979028455,0.5013979496738118,0.7326574178204834,0.5023061098600288,0.5714481580611288
gru,0,3,0.33844736603538644,0.35170676778344545,0.8712787555857938,0.527027027027027,0.7479851962758108,0.5280025476825508,0.5881836332482296
gru,0,4,0.3198357548160053,0.34741726035580917,0.8770763258022809,0.532618825722274,0.7208423960872221,0.5812789909724738,0.6274128195669457
gru,0,5,0.30238902451616995,0.33819855618126254,0.8852469329679533,0.5456663560111836,0.755389632487059,0.5615514730277956,0.622149362009879
gru,0,6,0.28926678872510286,0.3399871557074435,0.8858865425629794,0.5498602050326188,0.7646593747476353,0.567397544116111,0.6320130266588971
gru,0,7,0.27676353109686563,0.32943928022595015,0.8905403964262287,0.5610438024231128,0.7478804225463968,0.6217508259643135,0.6722753340016941
gru,0,8,0.26194396202037395,0.32871468496673245,0.8902930661231799,0.5470643056849953,0.7445183627872541,0.6139968924219139,0.6625345032066605
gru,0,9,0.24903315484300534,0.3324810577666058,0.8937205686021172,0.5726933830382106,0.7443338381688002,0.6351705188426685,0.6781282471989256
gru,0,10,0.2341206617904513,0.3362914249300957,0.8902138224506704,0.5521901211556384,0.7339566293432023,0.6315525195430641,0.6752402632390013
resnet,0,1,0.3782626377062851,0.3566130189334645,0.8757520177791515,0.4613233923578751,0.7032876457776852,0.5633443792987045,0.6242706184382101
resnet,0,2,0.341905038845673,0.3586862376507591,0.8748816017085378,0.5335507921714818,0.7385939752739832,0.5815008160319561,0.6285798990939296
resnet,0,3,0.3291186761766784,0.34024814998402314,0.882371876958023,0.5349487418452936,0.7545958047171616,0.5577838694043665,0.6264465294834952
resnet,0,4,0.3165278292438957,0.34675459651386037,0.8823836536126859,0.543336439888164,0.7806004568390394,0.5495547357085218,0.609528682031516
resnet,0,5,0.30883291882745334,0.3470728379838607,0.8888645838061431,0.5330848089468779,0.7743974231147465,0.5426917793495898,0.6054159960815653
resnet,0,6,0.3020521127217718,0.35276756917729096,0.8843693407516262,0.5475302889095992,0.771500056631281,0.5454567285998481,0.5986873620675115
resnet,0,7,0.29809266563211934,0.3264475859263364,0.8944064248019246,0.5521901211556384,0.7545538986787609,0.6002651728927418,0.6566842830583509
resnet,0,8,0.29041509118196224,0.35376974063761096,0.8934368968050016,0.5358807082945014,0.7972064994684388,0.5227095345894675,0.5913980907564885
resnet,0,9,0.28550873613089656,0.33763132901752696,0.8906326503520958,0.5442684063373718,0.7700168300086585,0.5781081884985143,0.6421795992023134
resnet,0,10,0.28138001983085376,0.33091331229490395,0.8946099592875074,0.554520037278658,0.7765047514017527,0.5710710606889399,0.6375247247514471
mlp,1,1,0.49092369110843215,0.452383313108893,0.7888309608614154,0.4375582479030755,0.6388132054090188,0.4361728489342383,0.5047308886182581
mlp,1,2,0.38759366570787035,0.49471139469567466,0.7955360535247655,0.43243243243243246,0.6478535468577215,0.5061660041586978,0.5603151386683545
mlp,1,3,0.3140928028674608,0.5916719980099622,0.7809570535675239,0.4547996272134203,0.6436801826798942,0.4832262815964074,0.5396587925883589
mlp,1,4,0.29222677664810354,0.6725055820801679,0.7783958713358876,0.4706430568499534,0.6441166810162697,0.5023466720288241,0.5538144457107125
mlp,1,5,0.26514203745997356,0.7939362008781994,0.7748048695106403,0.45666356011183595,0.6315383380105493,0.5311267812137157,0.5713732930011639
mlp,1,6,0.26966933839106827,0.9915879947297713,0.7562768979431833,0.44547996272134205,0.6301738366291979,0.4931713648690284,0.5412873751417778
mlp,1,7,0.2383471688025453,1.0407013419796438,0.7629621158428018,0.4440820130475303,0.6391117004766265,0.5057262868585835,0.5568176864145489
mlp,1,8,0.21135069326626674,1.1490761269541347,0.7663143144249018,0.4580615097856477,0.6330849845026837,0.5160384516415226,0.5604405137434131
mlp,1,9,0.17832232607103018,1.151837326147977,0.7647731993299931,0.4482758620689655,0.6187085307973431,0.5139965977400534,0.5561779513619881
mlp,1,10,0.16089253004793816,1.2724669803591335,0.7666916249639983,0.461789375582479,0.6448113827866524,0.5160920094119281,0.5632302621664367
cnn,1,1,0.40050316526648705,0.3756744633702671,0.8526009482177846,0.483690587138863,0.7694446763037195,0.4604494556147287,0.5423311111635561
cnn,1,2,0.35923109161719846,0.36346166712396283,0.8634003934733976,0.5018639328984157,0.7422775210420924,0.5237949840411356,0.5889508373756857
cnn,1,3,0.34660319649101645,0.3638899869778577,0.870307839164773,0.5153774464119292,0.7507796437521278,0.5192946270024883,0.5850355653889963
cnn,1,4,0.3374486735251066,0.35254376951385946,0.8784368272110121,0.4902143522833178,0.7422516982407139,0.5645054422740599,0.63057260738677
cnn,1,5,0.32886500539404623,0.36050406273673563,0.8780781741381031,0.48835041938490215,0.7218828397434146,0.5569489021653592,0.6088567765575644
cnn,1,6,0.322379912497399,0.3507093344541157,0.8785845218758717,0.5181733457595527,0.736685183003228,0.5706928523072932,0.6231525465457054
cnn,1,7,0.3164129646753104,0.3512046876199105,0.8776297860080092,0.5260950605778192,0.7481352670453909,0.560270477824006,0.6201199745348107
cnn,1,8,0.3126285030935588,0.34483715716530294,0.8807046737216258,0.5205032618825722,0.7437002746825362,0.550863957882595,0.6169818499165809
cnn,1,9,0.3056751048743502,0.35134996999712553,0.8822283825153848,0.4706430568499534,0.7104158339523601,0.5967041300715208,0.6479316675552098
cnn,1,10,0.3028929680585861,0.35548577895935846,0.8820122412526059,0.5335507921714818,0.7633687953402271,0.53783895781024,0.6045844977294366
gru,1,1,0.42499402600727726,0.3889305696767919,0.8412147053099549,0.49813606710158437,0.6990853511060452,0.4791003362793626,0.5380964653137251
gru,1,2,0.3608690525931812,0.37340329412151785,0.8543008959293527,0.5284249767008388,0.7211172882898675,0.5204185442768704,0.5748854721913046
gru,1,3,0.335744706990567,0.3476896890822579,0.8689608977157184,0.5144454799627214,0.7310449640362247,0.5569158517529229,0.6077575228284314
gru,1,4,0.3157736424649699,0.34290189120699377,0.8796616001633375,0.5517241379310345,0.7336598268488024,0.5905416805127675,0.6359543917242757
gru,1,5,0.29673426517386564,0.33589989998761344,0.8869075086057292,0.5601118359739049,0.7424076851880652,0.6027052057918667,0.6485249565064803
gru,1,6,0.28201560664935954,0.32932256468955207,0.8903276282666021,0.5442684063373718,0.7414216222034922,0.6018734649245706,0.6567909183959721
gru,1,7,0.26934601388843765,0.3289870847673977,0.8922365426037004,0.5689655172413793,0.7602336965017927,0.6026921450708277,0.657926941072122
gru,1,8,0.2541511929437016,0.3280700072646141,0.8932759559358165,0.548928238583411,0.7688383203196969,0.5898909071965257,0.6498532908695995
gru,1,9,0.24278479959634358,0.3355355267139042,0.8931705051736649,0.575955265610438,0.7613690806722445,0.6165531233777697,0.669190778600729
gru,1,10,0.22947466931539529,0.3339288716807085,0.8923493385892891,0.5754892823858341,0.7400058029065092,0.634085862006273,0.6766877609270282
resnet,1,1,0.3731840482811803,0.3457094106604071,0.8778868724398224,0.5265610438024231,0.7779180171465729,0.5648573430641494,0.6229342665414535
resnet,1,2,0.34096845303581896,0.3832576695610495,0.8807031939627386,0.41985088536812676,0.735546319772587,0.5463927322507459,0.5892462912328424
resnet,1,3,0.3274884469500195,0.35065189529867735,0.8833186487869182,0.5237651444547996,0.7740437550067415,0.5155983844066988,0.5951608198642904
resnet,1,4,0.3172533874319734,0.32874177308643565,0.8898713902313411,0.5400745573159367,0.7694902121483486,0.5679652480629273,0.6409829733069017
resnet,1,5,0.30783181835649615,0.3318520530181773,0.8898962606475603,0.53215284249767,0.7650574867349277,0.575475261326242,0.6390943204169701
resnet,1,6,0.30132768646384894,0.33479178828351636,0.8891050443185009,0.5587138863000932,0.7794737801090366,0.565551868085665,0.6333841046249574
resnet,1,7,0.296627742911546,0.3300388297613929,0.8954521039655383,0.532618825722274,0.722704805279955,0.6414691120788253,0.6766625458352664
resnet,1,8,0.29252148355437574,0.3319251958061667,0.8943542065796024,0.5507921714818267,0.7709501826141137,0.5967244512800112,0.6555196920850024
resnet,1,9,0.2851548024107901,0.3255181991878678,0.8964816133687652,0.5293569431500466,0.726252515381162,0.605792705387337,0.6541911438778923
resnet,1,10,0.2805903558427475,0.32788048947558684,0.8954447650040652,0.5452003727865797,0.7291539947814413,0.6401826159277124,0.680125771020929
