Time,Dataset Directory,Model,Trainable Layer,Split Ratio,Sampling Method,ROC AUC
2026-06-24 11:24:12,datasets/ecg_datasets/PTBXL_QRS/superdiagnostic,ptbxl,linear,0.5,random,0.8590579762839597
2026-06-24 11:50:14,datasets/ecg_datasets/PTBXL_QRS/superdiagnostic,ptbxl,linear,1.0,random,0.8722764176097588
2026-06-24 14:36:33,datasets/ecg_datasets/PTBXL_QRS/superdiagnostic,ptbxl,linear,1.0,random,0.8720307761345427
2026-06-24 14:48:06,datasets/ecg_datasets/PTBXL_QRS/superdiagnostic,ptbxl,linear,1.0,random,0.871541714164082
2026-06-24 15:39:21,datasets/ecg_datasets/PTBXL_QRS/superdiagnostic,ptbxl,all,1.0,random,0.8831332966114391
2026-07-01 11:37:04,datasets/ecg_datasets/PTBXL_QRS/superdiagnostic,ptbxl,adapter,1.0,random,0.8408477666899113
2026-07-01 11:51:40,datasets/ecg_datasets/PTBXL_QRS/superdiagnostic,ptbxl,all,1.0,random,0.8840155578773266
2026-07-01 12:01:46,datasets/ecg_datasets/PTBXL_QRS/superdiagnostic,ptbxl,all,1.0,random,0.8813012940385484
2026-07-01 12:10:52,datasets/ecg_datasets/PTBXL_QRS/superdiagnostic,ptbxl,all,1.0,random,0.900513728580864
2026-07-01 12:11:28,datasets/ecg_datasets/PTBXL_QRS/superdiagnostic,ptbxl,all,1.0,random,0.9023325244425056
2026-07-01 12:11:57,datasets/ecg_datasets/PTBXL_QRS/superdiagnostic,ptbxl,all,1.0,random,0.9030897798718778
2026-07-01 14:22:19,datasets/ecg_datasets/PTBXL_QRS/superdiagnostic,ptbxl,all,0.5,random,0.8995857131581468
2026-07-01 14:29:30,datasets/ecg_datasets/PTBXL_QRS/superdiagnostic,ptbxl,all,0.25,random,0.8817880825941972
2026-07-01 14:33:48,datasets/ecg_datasets/PTBXL_QRS/superdiagnostic,ptbxl,all,0.1,random,0.8703299117692824
2026-07-02 12:23:53,datasets/ecg_datasets/PTBXL_QRS/superdiagnostic,ptbxl,all,1.0,random,0.900513728580864
2026-07-02 12:25:20,datasets/ecg_datasets/PTBXL_QRS/superdiagnostic,ptbxl,all,1.0,random,0.9023325244425056
2026-07-02 12:26:26,datasets/ecg_datasets/PTBXL_QRS/superdiagnostic,ptbxl,all,1.0,random,0.9030897798718778
2026-07-03 12:49:07,datasets/ecg_datasets/PTBXL_PREPROC_QRS/superdiagnostic,ptbxl,all,1.0,random,0.9119584743422244
2026-07-03 13:36:24,datasets/ecg_datasets/PTBXL_PREPROC_QRS/superdiagnostic,ptbxl,all,1.0,random,0.9120432293746454
2026-07-03 13:49:36,datasets/ecg_datasets/PTBXL_PREPROC_QRS/superdiagnostic,ptbxl,all,1.0,random,0.9137408435603053
2026-07-03 14:11:30,datasets/ecg_datasets/PTBXL_PREPROC_QRS/superdiagnostic,ptbxl,all,1.0,random,0.9119584743422244
2026-07-03 14:12:29,datasets/ecg_datasets/PTBXL_PREPROC_QRS/superdiagnostic,ptbxl,all,1.0,random,0.9120432293746454
2026-07-03 14:14:25,datasets/ecg_datasets/PTBXL_PREPROC_QRS/superdiagnostic,ptbxl,all,1.0,random,0.9137408435603053
2026-07-03 14:23:00,datasets/ecg_datasets/PTBXL_PREPROC_QRS/superdiagnostic,ptbxl,all,1.0,random,0.9119584743422244
2026-07-03 14:55:14,datasets/ecg_datasets/PTBXL_PREPROC_QRS/superdiagnostic,ptbxl,all,1.0,random,0.9120432293746454
2026-07-03 16:01:04,datasets/ecg_datasets/PTBXL_PREPROC_QRS/superdiagnostic,ptbxl,all,1.0,random,0.9137408435603053
2026-07-21 12:51:56,datasets/ecg_datasets/PTBXL_PREPROC_QRS/superdiagnostic,ptbxl,all,0.1,random,0.7860280256513237
2026-07-21 12:54:03,datasets/ecg_datasets/PTBXL_PREPROC_QRS/superdiagnostic,ptbxl,all,0.25,random,0.7805959059370255
2026-07-21 12:59:54,datasets/ecg_datasets/PTBXL_PREPROC_QRS/superdiagnostic,ptbxl,all,0.5,random,0.7780057489044726
2026-07-21 13:10:35,datasets/ecg_datasets/PTBXL_PREPROC_QRS/superdiagnostic,ptbxl,all,0.5,random,0.8952348403150486
2026-07-21 13:19:24,datasets/ecg_datasets/PTBXL_PREPROC_QRS/superdiagnostic,ptbxl,all,0.25,random,0.8772678525160202
2026-07-21 13:21:14,datasets/ecg_datasets/PTBXL_PREPROC_QRS/superdiagnostic,ptbxl,all,0.1,random,0.8682134807829615
